Commune,Niveau,Détails
Agencourt (21700),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Agey (21410),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Ahuy (21121),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Aignay-le-Duc (21510),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Aiserey (21110),Vigilance,"zone : Vouge, Biètre, Cent-Fonts (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Aisey-sur-Seine (21400),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Aisy-sous-Thil (21390),Vigilance,"zone : Serein amont, Romanée (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Alise-Sainte-Reine (21150),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Allerey (21230),Vigilance,"zone : Arroux, Lacanche (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Aloxe-Corton (21420),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Ampilly-le-Sec (21400),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Ampilly-les-Bordes (21450),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Ancey (21410),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Antheuil (21360),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Antigny-la-Ville (21230),Vigilance,"zone : Arroux, Lacanche (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Arc-sur-Tille (21560),Vigilance,"zone : Tille aval, Norges (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Arceau (21310),Vigilance,"zone : Tille aval, Norges (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Arcenant (21700),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Arcey (21410),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Arconcey (21320),Vigilance,"zone : Arroux, Lacanche (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Argilly (21700),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Arnay-le-Duc (21230),Vigilance,"zone : Arroux, Lacanche (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Arnay-sous-Vitteaux (21350),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Arrans (21500),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Asnières-en-Montagne (21500),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Asnières-lès-Dijon (21380),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Athie (21500),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Athée (21130),Vigilance,zone : Saône moyenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Aubaine (21360),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Aubigny-en-Plaine (21170),Vigilance,"zone : Vouge, Biètre, Cent-Fonts (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Aubigny-la-Ronce (21340),Vigilance,"zone : Arroux, Lacanche (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Aubigny-lès-Sombernon (21540),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Autricourt (21570),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Auvillars-sur-Saône (21250),Vigilance,zone : Saône moyenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Auxant (21360),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Auxey-Duresses (21190),Vigilance,"zone : Dheune, Avant Dheune (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Auxonne (21130),Vigilance,zone : Saône moyenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Avelanges (21120),Vigilance,"zone : Tille amont, Ignon, Venelle (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Avosnes (21350),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Avot (21580),Vigilance,"zone : Tille amont, Ignon, Venelle (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bagnot (21700),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Baigneux-les-Juifs (21450),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
