Commune,Niveau,Détails
Allineuc (22460),Crise,zone : Zone sud (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
Andel (22400),Crise,zone : Zone est (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
Aucaleuc (22100),Crise,zone : Zone est (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
Beaussais-sur-Mer (22650),Crise,zone : Zone est (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
Belle-Isle-en-Terre (22810),Crise,zone : Zone ouest (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
Berhet (22140),Crise,zone : Zone ouest (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
"Binic-Étables-sur-Mer (22520, 22680)",Crise,zone : Zone centre (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
Bobital (22100),Crise,zone : Zone est (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
Bon Repos sur Blavet (22570),Crise,zone : Zone sud-ouest (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
Boqueho (22170),Crise,zone : Zone centre (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
Bourbriac (22390),Crise,zone : Zone ouest (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
Bourseul (22130),Crise,zone : Zone est (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
Bringolo (22170),Crise,zone : Zone centre (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
Broons (22250),Crise,zone : Zone est (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
Brusvily (22100),Crise,zone : Zone est (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
Bréhand (22510),Crise,zone : Zone est (eaux superficielles)<br>arrêté valable du 10/08/2022 au 30/11/2022
