Commune,Niveau,Détails
Abbécourt (02300),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Achery (02800),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Achery (02800),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Acy (02200),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Agnicourt-et-Séchelles (02340),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Aguilcourt (02190),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Aisonville-et-Bernoville (02110),Vigilance,zone : bassin de la Somme (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Aisonville-et-Bernoville (02110),Vigilance,zone : bassin de l'Escaut (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Aisonville-et-Bernoville (02110),Alerte,zone : bassin de l'Oise Amont et Sambre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Aisonville-et-Bernoville (02110),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Aizelles (02820),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Aizy-Jouy (02370),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Alaincourt (02240),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Allemant (02320),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Ambleny (02290),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Ambrief (02200),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Amifontaine (02190),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Amifontaine (02190),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Amigny-Rouy (02700),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Ancienville (02600),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Andelain (02800),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Anguilcourt-le-Sart (02800),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Anguilcourt-le-Sart (02800),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Anizy-le-Grand (02320),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Annois (02480),Vigilance,zone : bassin de la Somme (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Any-Martin-Rieux (02500),Alerte,zone : bassin de l'Oise Amont et Sambre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Archon (02360),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Arcy-Sainte-Restitue (02130),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Arcy-Sainte-Restitue (02130),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Arcy-Sainte-Restitue (02130),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Armentières-sur-Ourcq (02210),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Arrancy (02860),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Arrancy (02860),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Arrancy (02860),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Artemps (02480),Vigilance,zone : bassin de la Somme (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Assis-sur-Serre (02270),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Athies-sous-Laon (02840),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Athies-sous-Laon (02840),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Attilly (02490),Vigilance,zone : bassin de la Somme (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Aubencheul-aux-Bois (02420),Vigilance,zone : bassin de l'Escaut (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Aubenton (02500),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Aubenton (02500),Alerte,zone : bassin de l'Oise Amont et Sambre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Aubigny-aux-Kaisnes (02590),Vigilance,zone : bassin de la Somme (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Aubigny-en-Laonnois (02820),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Aubigny-en-Laonnois (02820),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Aubigny-en-Laonnois (02820),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
