Commune,Niveau,Détails
"Paris (75001, 75002, 75003, 75004, 75005, 75006, 75007, 75008, 75009, 75010, 75011, 75012, 75013, 75014, 75015, 75116, 75016, 75017, 75018, 75019, 75020)",Vigilance,zone : Bassins de la Marne et de la Seine (eaux superficielles)<br>arrêté valable du 03/08/2022 au 31/10/2022
Achères-la-Forêt (77760),Vigilance,zone : Bassin de l'Ecole (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Amillis (77120),Alerte,zone : Bassin du Grand Morin (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Amponville (77760),Vigilance,zone : Bassin de l'Ecole (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Andrezel (77390),Alerte renforcée,zone : Bassin de l'Ancoeur (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Andrezel (77390),Vigilance,zone : Bassin de l'Yerres (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Annet-sur-Marne (77410),Vigilance,zone : Bassin de la Beuvronne (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Annet-sur-Marne (77410),Vigilance,zone : Bassin de la Marne (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Arbonne-la-Forêt (77630),Vigilance,zone : Bassin de l'Ecole (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Argentières (77390),Vigilance,zone : Bassin de l'Yerres (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Armentières-en-Brie (77440),Vigilance,zone : Bassin de la Marne (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Arville (77890),Vigilance,zone : Bassin de l'Essonne (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Arville (77890),Crise,zone : Bassin du Fusin (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Arville (77890),Alerte,zone : Bassin du Loing (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Aubepierre-Ozouer-le-Repos (77720),Alerte renforcée,zone : Bassin de l'Ancoeur (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Aubepierre-Ozouer-le-Repos (77720),Vigilance,zone : Bassin de l'Yerres (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Aufferville (77570),Alerte,zone : Bassin du Loing (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Augers-en-Brie (77560),Vigilance,zone : Bassin de la Voulzie (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Augers-en-Brie (77560),Alerte,zone : Bassin du Grand Morin (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Aulnoy (77120),Alerte,zone : Bassin du Grand Morin (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Avon (77210),Vigilance,zone : Bassin de la Seine (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Avon (77210),Alerte,zone : Bassin du Loing (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Baby (77480),Vigilance,zone : Bassin de la Seine (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bagneaux-sur-Loing (77167),Alerte,zone : Bassin du Loing (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bailly-Romainvilliers (77700),Vigilance,zone : Bassin de l'Yerres (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bailly-Romainvilliers (77700),Alerte,zone : Bassin du Grand Morin (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bailly-Romainvilliers (77700),Vigilance,zone : Bassin Gondoire (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Balloy (77118),Vigilance,zone : Bassin de la Seine (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Balloy (77118),Vigilance,zone : Bassin de l'Auxence (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bannost-Villegagnon (77970),Vigilance,zone : Bassin de la Voulzie (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bannost-Villegagnon (77970),Vigilance,zone : Bassin de l'Yerres (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bannost-Villegagnon (77970),Alerte,zone : Bassin du Grand Morin (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Barbey (77130),Alerte,zone : Bassin de l'Yonne (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Barbizon (77630),Vigilance,zone : Bassin de l'Ecole (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Barcy (77910),Vigilance,zone : Bassin de la Marne (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Barcy (77910),Vigilance,zone : Bassin de la Thérouanne (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bassevelle (77750),Alerte renforcée,zone : Bassin du Petit Morin (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bazoches-lès-Bray (77118),Vigilance,zone : Bassin de la Seine (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bazoches-lès-Bray (77118),Vigilance,zone : Bassin de l'Auxence (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Beauchery-Saint-Martin (77560),Vigilance,zone : Bassin de la Voulzie (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Beaumont-du-Gâtinais (77890),Crise,zone : Bassin du Fusin (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Beautheil-Saints (77120),Alerte,zone : Bassin du Grand Morin (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Beauvoir (77390),Vigilance,zone : Bassin de l'Yerres (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bellot (77510),Alerte,zone : Bassin du Grand Morin (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bellot (77510),Alerte renforcée,zone : Bassin du Petit Morin (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bernay-Vilbert (77540),Vigilance,zone : Bassin de l'Yerres (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Beton-Bazoches (77320),Alerte,zone : Bassin du Grand Morin (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bezalles (77970),Vigilance,zone : Bassin de la Voulzie (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bezalles (77970),Alerte,zone : Bassin du Grand Morin (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Blandy (77115),Alerte renforcée,zone : Bassin de l'Ancoeur (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Blennes (77940),Alerte,zone : Bassin de l'Orvanne (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Blennes (77940),Vigilance,zone : Bassin du Lunain (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bois-le-Roi (77590),Vigilance,zone : Bassin de la Seine (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Bois-le-Roi (77590),Alerte,zone : Bassin du Loing (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
Boisdon (77970),Alerte,zone : Bassin du Grand Morin (eaux superficielles)<br>arrêté valable du 12/08/2022 au 31/12/2022
