Commune,Niveau,Détails
Ablon (14600),Vigilance,zone : TOUQUES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Ablon (14600),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Agy (14400),Vigilance,zone : AURE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Agy (14400),Alerte renforcée,zone : NAPPE DU TRIAS (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Amayé-sur-Orne (14210),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Amayé-sur-Orne (14210),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Amayé-sur-Seulles (14310),Alerte renforcée,zone : SEULLES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Amayé-sur-Seulles (14310),Alerte renforcée,zone : NAPPE DU TRIAS (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Amfreville (14860),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Amfreville (14860),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Angerville (14430),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Angerville (14430),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Anisy (14610),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Anisy (14610),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Annebault (14430),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Annebault (14430),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Arganchy (14400),Vigilance,zone : AURE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
