Commune,Niveau,Détails
Agris (16110),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Bandiat (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Agris (16110),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Tardoire (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Aigre (16140),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Aume-Couture (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Alloue (16490),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Argent-Or_Lizonne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Ambérac (16140),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Aume-Couture (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Anais (16560),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Argence (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Angeac-Champagne (16130),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Angeac-Champagne (16130),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Angeac-Charente (16120),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Angeduc (16300),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Angoulême (16000),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Ars (16130),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Asnières-sur-Nouère (16290),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Nouère (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Aubeterre-sur-Dronne (16390),Alerte,zone : OUGC Isle-Dronne /  Zone d'alerte : La Dronne (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022
Aussac-Vadalle (16560),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Tardoire (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Aussac-Vadalle (16560),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Argence (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Baignes-Sainte-Radegonde (16360),Alerte,zone : OUGC Saintonge /  Zone d'alerte : Seugne (eaux superficielles)<br>arrêté valable du 27/07/2022 au 31/10/2022
Balzac (16430),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Argence (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Barbezieux-Saint-Hilaire (16300),Alerte,zone : OUGC Saintonge /  Zone d'alerte : Seugne (eaux superficielles)<br>arrêté valable du 27/07/2022 au 31/10/2022
Barbezieux-Saint-Hilaire (16300),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
