Commune,Niveau,Détails
Aigues-Juntes (09240),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Aigues-Vives (09600),Crise,zone : BV_Countirou (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Aleu (09320),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Allières (09240),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Alos (09200),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Alzen (09240),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Alzen (09240),Crise,zone : BV_Arget (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Arnave (09400),Crise,zone : BV_Arnave (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Artigat (09130),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Arvigna (09100),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Arvigna (09100),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Aulus-les-Bains (09140),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Bagert (09230),Crise,zone : BV_Lens (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Balaguères (09800),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Barjac (09230),Crise,zone : BV_Lens (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Barjac (09230),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Baulou (09000),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Baulou (09000),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Belloc (09600),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Belloc (09600),Crise,zone : BV_Touyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Besset (09500),Crise,zone : BV_Countirou (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Besset (09500),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Bestiac (09250),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Betchat (09160),Crise,zone : BV_Lens (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Betchat (09160),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Biert (09320),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Bompas (09400),Crise,zone : BV_Arnave (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Boussenac (09320),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Brassac (09000),Crise,zone : BV_Arget (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Burret (09000),Crise,zone : BV_Arget (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Bédeille (09230),Crise,zone : BV_Lens (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Bélesta (09300),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Bénac (09000),Crise,zone : BV_Arget (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Bénaix (09300),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Bénaix (09300),Crise,zone : BV_Touyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Cadarcet (09240),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Cadarcet (09240),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Calzan (09120),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Camarade (09290),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Camarade (09290),Crise,zone : BV_Volp (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Camon (09500),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Campagne-sur-Arize (09350),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Carla-Bayle (09130),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Carla-Bayle (09130),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Carla-de-Roquefort (09300),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Castelnau-Durban (09420),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Castelnau-Durban (09420),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Castex (09350),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Castéras (09130),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Castéras (09130),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Caumont (09160),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Cazals-des-Baylès (09500),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
