Commune,Niveau,Détails
Abbaretz (44170),Crise,zone : Bassin de la Vilaine (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Abbaretz (44170),Crise,zone : Bassin de l'Erdre Amont (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Aigrefeuille-sur-Maine (44140),Crise,zone : Bassin de la Maine (eaux superficielles)<br>arrêté valable du 17/08/2022 au 31/10/2022
Aigrefeuille-sur-Maine (44140),Crise,"zone : Bassin de la Logne, Boulogne, Ognon, Grand-lieu (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022"
Ancenis-Saint-Géréon (44150),Crise,zone : Bassin Affluents Nord Loire (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Assérac (44410),Crise,zone : Bassin de la Brière (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Avessac (44460),Crise,zone : Bassin de la Vilaine (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Basse-Goulaine (44115),Crise,zone : Bassin de la Sèvre Nantaise (eaux superficielles)<br>arrêté valable du 17/08/2022 au 31/10/2022
Basse-Goulaine (44115),Crise,zone : Bassin Affluents Sud Loire (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Basse-Goulaine (44115),Alerte renforcée,zone : Bassin de la Loire (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Batz-sur-Mer (44740),Crise,zone : Bassin de la Brière (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Besné (44160),Crise,zone : Bassin de la Brière (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Blain (44130),Crise,zone : Bassin de la Vilaine (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Bouaye (44830),Crise,"zone : Bassin de la Logne, Boulogne, Ognon, Grand-lieu (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022"
Bouaye (44830),Alerte renforcée,zone : Bassin de la Loire (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Bouaye (44830),Vigilance,zone : Bassin du Lac de Grand-Lieu (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Bouguenais (44340),Crise,"zone : Bassin de la Logne, Boulogne, Ognon, Grand-lieu (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022"
Bouguenais (44340),Alerte renforcée,zone : Bassin de la Loire (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Boussay (44190),Crise,zone : Bassin de la Moine (eaux superficielles)<br>arrêté valable du 17/08/2022 au 31/10/2022
Boussay (44190),Crise,zone : Bassin de la Sèvre Nantaise (eaux superficielles)<br>arrêté valable du 17/08/2022 au 31/10/2022
Bouvron (44130),Crise,zone : Bassin de la Brière (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Bouvron (44130),Crise,zone : Bassin de la Vilaine (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Bouée (44260),Alerte renforcée,zone : Bassin de la Loire (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Brains (44830),Crise,"zone : Bassin de la Logne, Boulogne, Ognon, Grand-lieu (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022"
Brains (44830),Alerte renforcée,zone : Bassin de la Loire (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Campbon (44750),Crise,zone : Bassin de la Brière (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Carquefou (44470),Alerte renforcée,zone : Bassin de la Loire (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Carquefou (44470),Alerte renforcée,zone : Bassin de l'Erdre Aval (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Casson (44390),Alerte renforcée,zone : Bassin de l'Erdre Aval (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Casson (44390),Vigilance,zone : bassin d'alimentation des captages de Nort-sur-Erdre (eaux souterraines)<br>arrêté valable du 15/09/2022 au 31/10/2022
"Chaumes-en-Retz (44320, 44680)",Crise,zone : Bassin côtiers bretons (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
"Chaumes-en-Retz (44320, 44680)",Alerte renforcée,zone : Bassin de la Loire (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
