Commune,Niveau,Détails
Aiglun (04510),Vigilance,zone : Bassin versant de la Bleone (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Allemagne-en-Provence (04500),Crise,zone : Bassin versant du Colostre (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Allemagne-en-Provence (04500),Alerte,zone : Bassin versant du Verdon aval (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Allons (04170),Alerte,zone : Bassin versant du Var (partie dpt Alpes-de-Haute-Provence) (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Allons (04170),Alerte,zone : Bassin versant du Verdon amont (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Allos (04260),Alerte,zone : Bassin versant du Verdon amont (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Angles (04170),Alerte,zone : Bassin versant du Verdon aval (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Annot (04240),Alerte,zone : Bassin versant du Var (partie dpt Alpes-de-Haute-Provence) (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Archail (04420),Vigilance,zone : Bassin versant de la Bleone (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Aubenas-les-Alpes (04110),Crise,zone : Bassin versant du Largue (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Aubignosc (04200),Alerte,zone : Bassin versant de la Durance (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Authon (04200),Vigilance,zone : Bassin versant du Sasse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Authon (04200),Vigilance,zone : Bassin versant du Vancon (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Auzet (04140),Vigilance,zone : Bassin versant de la Blanche (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Auzet (04140),Vigilance,zone : Bassin versant de la Bleone (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Banon (04150),Alerte renforcée,zone : Bassin versant du Calavon (partie dpt Alpes-de-Haute-Provence) (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Banon (04150),Crise,zone : Bassin versant du Largue (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Barcelonnette (04400),Vigilance,zone : Bassin versant de l'Ubaye (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Barles (04140),Vigilance,zone : Bassin versant de la Bleone (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Barles (04140),Vigilance,zone : Bassin versant du Sasse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Barras (04380),Vigilance,zone : Bassin versant de la Bleone (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Barrême (04330),Crise,zone : Bassin versant de l'Asse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Bayons (04250),Vigilance,zone : Bassin versant du Sasse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Beaujeu (04420),Vigilance,zone : Bassin versant de la Bleone (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Beauvezer (04370),Alerte,zone : Bassin versant du Verdon amont (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Bellaffaire (04250),Alerte,zone : Bassin versant de la Durance (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Bevons (04200),Alerte renforcée,zone : Bassin versant du Buech (partie dpt Alpes-de-Haute-Provence) (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Beynes (04270),Crise,zone : Bassin versant de l'Asse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Blieux (04330),Crise,zone : Bassin versant de l'Asse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Blieux (04330),Alerte,zone : Bassin versant du Verdon aval (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Bras-d'Asse (04270),Alerte,zone : Bassin versant de la Durance (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Bras-d'Asse (04270),Crise,zone : Bassin versant de l'Asse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Braux (04240),Alerte,zone : Bassin versant du Var (partie dpt Alpes-de-Haute-Provence) (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Brunet (04210),Alerte,zone : Bassin versant de la Durance (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Brunet (04210),Crise,zone : Bassin versant de l'Asse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Brunet (04210),Crise,zone : Bassin versant du Colostre (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Castellane (04120),Crise,zone : Bassin versant de l'Asse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Castellane (04120),Alerte,zone : Bassin versant du Verdon aval (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Castellet-lès-Sausses (04320),Alerte,zone : Bassin versant du Var (partie dpt Alpes-de-Haute-Provence) (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Champtercier (04660),Vigilance,zone : Bassin versant de la Bleone (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Chaudon-Norante (04330),Vigilance,zone : Bassin versant de la Bleone (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Chaudon-Norante (04330),Crise,zone : Bassin versant de l'Asse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
"Château-Arnoux-Saint-Auban (04600, 04160)",Alerte,zone : Bassin versant de la Durance (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Châteaufort (04250),Vigilance,zone : Bassin versant du Sasse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Châteauneuf-Val-Saint-Donat (04200),Alerte,zone : Bassin versant de la Durance (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Châteauredon (04270),Vigilance,zone : Bassin versant de la Bleone (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Châteauredon (04270),Crise,zone : Bassin versant de l'Asse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Clamensane (04250),Vigilance,zone : Bassin versant du Sasse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Claret (05110),Alerte,zone : Bassin versant de la Durance (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Clumanc (04330),Crise,zone : Bassin versant de l'Asse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Colmars (04370),Alerte,zone : Bassin versant du Verdon amont (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Corbières-en-Provence (04220),Alerte,zone : Bassin versant de la Durance (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Cruis (04230),Crise,zone : Bassin versant du Lauzon (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Curbans (05110),Alerte,zone : Bassin versant de la Durance (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Curbans (05110),Vigilance,zone : Bassin versant du Sasse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Céreste (04280),Alerte renforcée,zone : Bassin versant du Calavon (partie dpt Alpes-de-Haute-Provence) (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Dauphin (04300),Crise,zone : Bassin versant du Largue (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Demandolx (04120),Alerte,zone : Bassin versant du Verdon aval (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Digne-les-Bains (04000),Vigilance,zone : Bassin versant de la Bleone (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Draix (04420),Vigilance,zone : Bassin versant de la Bleone (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Enchastrayes (04400),Vigilance,zone : Bassin versant de l'Ubaye (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
"Entrages (04000, 04270)",Vigilance,zone : Bassin versant de la Bleone (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
"Entrages (04000, 04270)",Crise,zone : Bassin versant de l'Asse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Entrepierres (04200),Alerte,zone : Bassin versant de la Durance (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Entrepierres (04200),Vigilance,zone : Bassin versant du Vancon (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Entrevaux (04320),Alerte,zone : Bassin versant du Var (partie dpt Alpes-de-Haute-Provence) (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Entrevennes (04700),Alerte,zone : Bassin versant de la Durance (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Entrevennes (04700),Crise,zone : Bassin versant de l'Asse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Esparron-de-Verdon (04800),Alerte,zone : Bassin versant du Verdon aval (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Estoublon (04270),Crise,zone : Bassin versant de l'Asse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Faucon-de-Barcelonnette (04400),Vigilance,zone : Bassin versant de l'Ubaye (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Faucon-du-Caire (04250),Alerte,zone : Bassin versant de la Durance (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Faucon-du-Caire (04250),Vigilance,zone : Bassin versant du Sasse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Fontienne (04230),Crise,zone : Bassin versant du Largue (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Fontienne (04230),Crise,zone : Bassin versant du Lauzon (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Forcalquier (04300),Crise,zone : Bassin versant du Largue (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Forcalquier (04300),Crise,zone : Bassin versant du Lauzon (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Ganagobie (04310),Alerte,zone : Bassin versant de la Durance (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Gigors (04250),Alerte,zone : Bassin versant de la Durance (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Gigors (04250),Vigilance,zone : Bassin versant du Sasse (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Gréoux-les-Bains (04800),Alerte,zone : Bassin versant de la Durance (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Gréoux-les-Bains (04800),Crise,zone : Bassin versant du Colostre (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Gréoux-les-Bains (04800),Alerte,zone : Bassin versant du Verdon aval (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Hautes-Duyes (04380),Vigilance,zone : Bassin versant de la Bleone (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
Hautes-Duyes (04380),Vigilance,zone : Bassin versant du Vancon (eaux superficielles)<br>arrêté valable du 05/08/2022 au 31/10/2022
