Commune,Niveau,Détails
Biesheim (68600),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Logelheim (68280),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Munwiller (68250),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Munwiller (68250),Alerte renforcée,"zone : Doller amont, Fecht, Weiss et Lauch (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022"
Kunheim (68320),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Blotzheim (68730),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Colmar (68000),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Colmar (68000),Alerte renforcée,"zone : Doller amont, Fecht, Weiss et Lauch (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022"
Heiteren (68600),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Rodern (68590),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Rodern (68590),Alerte renforcée,"zone : Bruche, Ehn, Andlau, Giessen et Liepvrette partie du département 68 (eaux superficielles)<br>arrêté valable du 13/07/2022 au 31/10/2022"
Landser (68440),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Village-Neuf (68128),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Niederentzen (68127),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Niederentzen (68127),Alerte renforcée,"zone : Doller amont, Fecht, Weiss et Lauch (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022"
Stetten (68510),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Stetten (68510),Alerte renforcée,zone : Ill amont (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Ranspach-le-Haut (68220),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Ranspach-le-Haut (68220),Alerte renforcée,zone : Ill amont (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Saint-Hippolyte (68590),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Saint-Hippolyte (68590),Alerte renforcée,"zone : Bruche, Ehn, Andlau, Giessen et Liepvrette partie du département 68 (eaux superficielles)<br>arrêté valable du 13/07/2022 au 31/10/2022"
Niffer (68680),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Durrenentzen (68320),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Hombourg (68490),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Rumersheim-le-Haut (68740),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Helfrantzkirch (68510),Vigilance,zone : Ill aval partie du département 68 (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
